"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_nirs","height_1st_branch","frogskin1_5","vigor1_5","lodging1_3","planted_number_plot","plant_type","harvest_number","mites_3mon","root_skin_color1_3","root_type1_5","root_rot_number","germinated_number_plot","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc"
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-1_420",1,420,14,29,"test"," (Operator: lizbethpino, Time: )","GM14178A-1","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,1.1798115,0.969375,5,40.7144775,55,1,3,2,5,5,2,NA,3,5,3,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-14_468",1,468,15,20,"test"," (Operator: lizbethpino, Time: )","GM14178A-14","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,0.1258903,0.3778627,3,41.6917,40,1,3,1,5,5,2,NA,3,4,0,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-15_46",1,46,2,19,"test"," (Operator: lizbethpino, Time: )","GM14178A-15","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,1.6894473,1.3833501,3,39.6816216,40,1,4,1,5,5,2,NA,3,4,10,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-16_192",1,192,6,1,"test"," (Operator: lizbethpino, Time: )","GM14178A-16","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,0.63809,0.39537,3,41.9768524,35,1,3,1,5,4,2,NA,3,3,0,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-17_104",1,104,4,25,"test"," (Operator: lizbethpino, Time: )","GM14178A-17","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",6.5767683936598,13.9815471965933,1.1664938,0.6870838,2,40.8782692,30,1,3,1,5,4,2,NA,3,3,11,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-18_163",1,163,6,30,"test"," (Operator: lizbethpino, Time: )","GM14178A-18","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",17.9837930265408,41.5508140658687,0.721782,0.5651683,3,41.5742531,85,1,4,1,5,3,2,NA,3,3,6,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-19_343",1,343,11,23,"test"," (Operator: lizbethpino, Time: )","GM14178A-19","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,NA,NA,3,NA,30,1,3,1,5,5,2,NA,3,3,19,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-20_63",1,63,2,2,"test"," (Operator: lizbethpino, Time: )","GM14178A-20","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",14.5742092457421,65.5474452554745,1.4240439,1.092696,4,38.3047371,60,1,3,1,5,5,2,NA,3,5,20,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-21_117",1,117,4,12,"test"," (Operator: lizbethpino, Time: )","GM14178A-21","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,0.8338872,0.6120285,3,41.0398026,25,1,3,1,5,5,2,NA,3,3,6,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-22_204",1,204,7,12,"test"," (Operator: lizbethpino, Time: )","GM14178A-22","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",8.33728934251128,22.4869451697128,0.5581563,0.389118,3,40.2800827,35,1,4,1,5,5,2,NA,3,3,0,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-24_352",1,352,11,32,"test"," (Operator: lizbethpino, Time: )","GM14178A-24","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,1.255657,0.9146806,4,41.7620506,35,1,3,1,5,4,2,NA,3,4,18,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-2_699",1,699,22,6,"test"," (Operator: lizbethpino, Time: )","GM14178A-2","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",5.16238487639357,6.2865878668108,1.6314176,1.2775896,3,42.4146118,95,1,5,1,5,4,2,NA,3,3,2,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-3_435",1,435,14,14,"test"," (Operator: lizbethpino, Time: )","GM14178A-3","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,0.9072646,0.4898267,3,41.7316284,90,1,3,1,5,3,1,NA,3,4,2,5,NA,1,NA,100
